continue_last_run;이어서 하기
erthu_chrwa_pristine_fletching_name;Pristine Fletching
erthu_chrwa_pristine_fletching_desc;투사체 속도가 크게 증가하고 치명타 확률이 약간 증가합니다.
erthu_chrwa_promotional_flyer_name;Promotional Flyer
erthu_chrwa_promotional_flyer_desc;다음에 방문하는 상인이 무료 아이템을 제공합니다.
erthu_chrwa_punctured_breastplate_name;Punctured Breastplate
erthu_chrwa_punctured_breastplate_desc;원거리 공격이 일정 확률로 매우 큰 피해를 입힙니다.
erthu_chrwa_rabid_bearskin_name;Rabid Bearskin
erthu_chrwa_rabid_bearskin_desc;적을 처치하면 잠시 동안 무적 상태가 됩니다.
erthu_chrwa_relentless_orchestrina_name;Relentless Orchestrina
erthu_chrwa_relentless_orchestrina_desc;위습 동료를 소환합니다.
erthu_chrwa_rodent_cache_name;Rodent Cache
erthu_chrwa_rodent_cache_desc;여러가지 간단한 아이템을 획득합니다.
erthu_chrwa_rusty_keyring_name;Rusty Keyring
erthu_chrwa_rusty_keyring_desc;적을 처치하면 열쇠를 떨어뜨릴 수 있습니다.
erthu_chrwa_sharpened_eagle_talon_name;Sharpened Eagle Talon
erthu_chrwa_sharpened_eagle_talon_desc;발사체가 목표물을 추적합니다.
erthu_chrwa_shattered_mirror_name;Shattered Mirror
erthu_chrwa_shattered_mirror_desc;모든 능력치가 적당히 증가하지만 운이 크게 감소합니다.
erthu_chrwa_sheet_music_name;Sheet Music
erthu_chrwa_sheet_music_desc;적을 처치하면 일정 확률로 위습을 생성합니다.
erthu_chrwa_silk_chain_name;Silk Chain
erthu_chrwa_silk_chain_desc;원거리 공격이 적을 플레이어 앞에 순간이동시킵니다.
erthu_chrwa_silver_chime_name;Silver Chime
erthu_chrwa_silver_chime_desc;무기 공격 시 일정 확률로 위습을 소환합니다.
erthu_chrwa_silver_spoon_name;Silver Spoon
erthu_chrwa_silver_spoon_desc;코인을 획득하면 마크가 충전될 수 있습니다.
erthu_chrwa_slobbering_totem_name;Slobbering Totem
erthu_chrwa_slobbering_totem_desc;모든 열쇠와 코인을 소모하지만, 그에 따라 무기 공격력이 증가합니다.
erthu_chrwa_sprout_of_ivy_name;Sprout of Ivy
erthu_chrwa_sprout_of_ivy_desc;근접 무기의 크기와 공격력이 서서히 증가하지만, 공격할 때마다 초기화됩니다.
erthu_chrwa_stone_arrowhead_name;Stone Arrowhead
erthu_chrwa_stone_arrowhead_desc;날아다니는 적에 대한 무기 공격력이 크게 증가합니다.
erthu_chrwa_swollen_tick_name;Swollen Tick
erthu_chrwa_swollen_tick_desc;적을 처치하면 폭발합니다.
erthu_chrwa_thiefs_mark_name;Thief's Mark
erthu_chrwa_thiefs_mark_desc;충전 후 사용하면 무작위 유물을 획득할 수 있습니다.
erthu_chrwa_third_card_monte_name;Third Card Monte
erthu_chrwa_third_card_monte_desc;두 가지 능력치는 적당히 증가하지만 다른 능력치가 크게 감소합니다.
erthu_chrwa_three_leaf_clover_name;Three Leaf Clover
erthu_chrwa_three_leaf_clover_desc;운이 약간 증가합니다.
erthu_chrwa_threshing_blade_name;Threshing Blade
erthu_chrwa_threshing_blade_desc;무기의 대미지가 주변 적에게 균등하게 분배됩니다.
erthu_chrwa_thrice_baked_beans_name;Thrice-Baked Beans
erthu_chrwa_thrice_baked_beans_desc;이동할 때 불타는 마그마의 흔적을 남깁니다.
erthu_chrwa_thundering_gong_name;Thundering Gong
erthu_chrwa_thundering_gong_desc;근접 공격은 주변 적에게 작은 피해를 줍니다.
erthu_chrwa_tight_breeches_name;Tight Breeches
erthu_chrwa_tight_breeches_desc;모든 능력치가 크게 증가하지만 더 이상 아이템을 보관할 수 없습니다.
erthu_chrwa_tincture_of_beast_bile_name;Tincture of Beast Bile
erthu_chrwa_tincture_of_beast_bile_desc;이건 마시면 안 될 것 같은데...
erthu_chrwa_toy_piano_name;Toy Piano
erthu_chrwa_toy_piano_desc;지역을 완료하면 열쇠를 두 개 획득합니다.
erthu_chrwa_treasure_map_name;Treasure Map
erthu_chrwa_treasure_map_desc;다음 지역에는 더 많은 상자가 포함됩니다.
erthu_chrwa_tress_of_silken_hair_name;Tress of Silken Hair
erthu_chrwa_tress_of_silken_hair_desc;적을 처치하면 일정 확률로 보호막을 얻을 수 있습니다.
erthu_chrwa_twice_baked_beans_name;Twice-Baked Beans
erthu_chrwa_twice_baked_beans_desc;이동할 때 유독 가스의 흔적을 남깁니다.
erthu_chrwa_two_headed_coin_name;Two-Headed Coin
erthu_chrwa_two_headed_coin_desc;모든 능력치가 약간 증가합니다.
erthu_chrwa_valued_customer_card_name;Valued Customer Card
erthu_chrwa_valued_customer_card_desc;상점 할인 대폭 증가
erthu_chrwa_velvet_purse_name;Velvet Purse
erthu_chrwa_velvet_purse_desc;코인을 100개 획득 합니다.
erthu_chrwa_vial_of_blue_blood_name;Vial of Blue Blood
erthu_chrwa_vial_of_blue_blood_desc;맞았을 때, 체력 대신 코인 수가 감소합니다.
erthu_chrwa_vicious_barb_name;Vicious Barb
erthu_chrwa_vicious_barb_desc;투사체는 적에게 박혀 있는 동안 지속적으로 피해를 입힙니다.
erthu_chrwa_warthog_underbelly_name;Warthog Underbelly
erthu_chrwa_warthog_underbelly_desc;무기 공격력이 크게 증가하지만, 받는 피해가 증가합니다.
erthu_chrwa_weak_link_name;Weak Link
erthu_chrwa_weak_link_desc;회피가 약간 증가합니다.
erthu_chrwa_whipping_toy_name;Whipping Toy
erthu_chrwa_whipping_toy_desc;보스에게 처음 맞을 때, 피해를 받지 않습니다.
erthu_chrwa_winged_shoe_name;Winged Shoe
erthu_chrwa_winged_shoe_desc;구덩이를 밟을 때 4초 동안 부유합니다.
erthu_chrwa_withered_sapling_name;Withered Sapling
erthu_chrwa_withered_sapling_desc;항아리에 사과가 들어있을 수 있습니다.
erthu_chrwa_wolf_fang_name;Wolf Fang
erthu_chrwa_wolf_fang_desc;맞았을 때, 다음 몇 번의 무기 공격이 더 큰 피해를 입힙니다.
erthu_chrwa_wool_slippers_name;Wool Slippers
erthu_chrwa_wool_slippers_desc;회피가 크게 증가합니다.
ach_aberration_obliteration_name;Aberration Obliteration
ach_aberration_obliteration_desc;강력한 적 100마리를 처치하세요.
ach_antique_antik_name;Antique Antik
ach_antique_antik_desc;희생의 석상을 파괴하세요.
ach_attics_anonymous_name;Attics Anonymous
ach_attics_anonymous_desc;천장에 숨겨진 비밀의 방을 발견하세요.
ach_a_battle_won_name;A Battle Won
ach_a_battle_won_desc;용병의 무기로 야수에게 피해를 입히세요.
ach_a_contract_completed_name;A Contract Completed
ach_a_contract_completed_desc;암살자의 무기로 야수에게 피해를 입히세요.
ach_a_hard_battle_won_name;A Hard Battle Won
ach_a_hard_battle_won_desc;어려움 모드(1.75배)에서 용병의 무기로 야수에게 피해를 입히세요.
ach_a_hard_contract_completed_name;A Hard Contract Completed
ach_a_hard_contract_completed_desc;어려움 모드(1.75배)에서 암살자의 무기로 야수에게 피해를 입히세요
ach_big_spender_name;Big Spender
ach_big_spender_desc;한 번의 모험으로 상점에서 아이템 4개를 획득합니다.
ach_black_friday_name;Black Friday
ach_black_friday_desc;상점 할인을 60%로 인상합니다.
ach_ceramic_panic_name;Ceramic Panic
ach_ceramic_panic_desc;항아리 천 개를 파괴하세요.
ach_close_the_book_name;Close The Book
ach_close_the_book_desc;모든 아이템을 찾아보세요.
ach_crush_capitalism_name;Crush Capitalism
ach_crush_capitalism_desc;광기의 상인 처치하기
ach_deep_cut_name;Deep Cut
ach_deep_cut_desc;한 번의 타격으로 최소 25의 피해를 입힙니다.
ach_deep_pockets_name;Deep Pockets
ach_deep_pockets_desc;한 번의 탐사 동안 250개 이상의 코인을 운반합니다.
ach_dentist_delight_name;Dentist's Delight
ach_dentist_delight_desc;금으로 이루어진 음식을 먹습니다.
ach_empty_belly_name;Empty Belly
ach_empty_belly_desc;음식을 먹지 않고 던전을 모험하세요.
ach_errant_entrance_name;Errant Entrance
ach_errant_entrance_desc;벽에서 숨겨진 방을 발견합니다.
ach_feed_the_friend_name;Feed The Friend
ach_feed_the_friend_desc;용과를 구덩이에 던집니다.
ach_good_luck_name;Good Luck!
ach_good_luck_desc;처음으로 고대 던전에 입장합니다
ach_hale_and_hearty_name;Hale And Hearty
ach_hale_and_hearty_desc;체력을 5칸 이상 획득합니다.
ach_hammer_time_name;Hammer Time
ach_hammer_time_desc;대장장이의 모루를 사용하여 무기를 강화합니다.
ach_itsy_bitsy_name;Itsy Bitsy
ach_itsy_bitsy_desc;Contracting Orb를 사용하여 자신의 크기를 줄입니다.
ach_jackpot_name;Jackpot!
ach_jackpot_desc;상점의 슬롯 머신에서 크게 승리합니다.
ach_jingleheimer_schmidt_name;Jingleheimer Schmidt
ach_jingleheimer_schmidt_desc;한 번의 모험 동안 20개 이상의 열쇠를 소지합니다.
ach_laid_to_rest_name;Laid to Rest
ach_laid_to_rest_desc;봉인된 영혼의 탐색을 3개 완료합니다.
ach_master_of_unlocking_name;Master of Unlocking
ach_master_of_unlocking_desc;250개의 상자를 엽니다
ach_merchant_shop_boycott_name;Merchant Shop Boycott
ach_merchant_shop_boycott_desc;상점에 들어가지 않고 던전을 모험하세요.
ach_merciless_killer_name;Merciless Killer
ach_merciless_killer_desc;암살자의 무기를 완전히 강화합니다.
ach_mind_if_we_pop_in_name;Mind If We Pop In?
ach_mind_if_we_pop_in_desc;도전 상자의 시련을 극복합니다.
ach_model_adventurer_name;Model Adventurer
ach_model_adventurer_desc;3.00 이상의 난이도의 던전을 모험하세요.
ach_model_explorer_name;Model Explorer
ach_model_explorer_desc;2.25 이상의 난이도에서 던전을 모험하세요.
ach_mosquito_bite_name;Mosquito Bite
ach_mosquito_bite_desc;야수에게 처음으로 대미지를 줍니다
ach_overstuffed_name;Overstuffed
ach_overstuffed_desc;한 번의 모험에서 모든 종류의 음식 아이템을 먹습니다.
ach_quick_like_a_bunny_name;Quick Like A Bunny
ach_quick_like_a_bunny_desc;20분 이내에 던전을 모험하세요.
ach_risky_bossness_name;Risky Boss-ness
ach_risky_bossness_desc;반 개의 체력으로 보스에게 도전하여 승리합니다
ach_savage_soldier_name;Savage Soldier
ach_savage_soldier_desc;용병의 무기를 완전히 강화합니다.
ach_shiney_slimey_name;Shiney Slimey
ach_shiney_slimey_desc;황금 슬라임을 처치합니다.
ach_show_off_name;Show Off
ach_show_off_desc;업그레이드 아이템을 얻지 않고 던전을 모험하세요.
ach_spoilsport_name;Spoilsport
ach_spoilsport_desc;보스를 한 방에 처치합니다.
ach_surprise_teeth_name;Surprise! Teeth!
ach_surprise_teeth_desc;미믹 상자를 처치합니다.
ach_the_caretaker_name;The Caretaker
ach_the_caretaker_desc;피해를 받지 않고 야수의 요람를 모험하세요.
ach_the_delver_name;The Delver
ach_the_delver_desc;피해를 받지 않고 들끓는 던전을 모험하세요.
ach_the_gatekeeper_name;The Gatekeeper
ach_the_gatekeeper_desc;피해를 받지 않고 제멋대로 커진 관문을 모험하세요.
ach_the_librarian_name;The Librarian
ach_the_librarian_desc;피해를 받지 않고 잊혀진 도서관을 모험하세요.
ach_the_miner_name;The Miner
ach_the_miner_desc;피해를 받지 않고 빛나는 광산을 모험하세요.
ach_try_hard_name;Try Hard
ach_try_hard_desc;입장했었던 던전을 다시 한 번 모험하세요.
ach_try_harder_name;Try Harder
ach_try_harder_desc;두번 입장했었던 던전을 한번 더 모험하세요.
ach_try_hard_with_a_vengeance_name;Try Hard with a Vengeance
ach_try_hard_with_a_vengeance_desc;세번 입장했었던 던전을 한번 더 모험하세요.
ach_unerring_daring_name;Unerring Daring
ach_unerring_daring_desc;원거리 무기를 사용하여 빗나가지 않고 25회 연속으로 적을 공격합니다.
ach_unsealed_souls_name;Unsealed Souls
ach_unsealed_souls_desc;모든 봉인된 영혼의 탐색을 완료합니다.
ach_un_parry_leled_name;Un-parry-leled
ach_un_parry_leled_desc;귀신이 들린 방어구를 처치합니다.
ach_ur2op_name;UR2OP
ach_ur2op_desc;한 번의 탐색에서 세 개의 강력한 아이템을 획득합니다.
ach_wanderlust_name;Wanderlust
ach_wanderlust_desc;고대 던전에서 250개의 방을 탐색합니다.
ach_you_break_it_you_buy_it_name;You Break It, You Buy It
ach_you_break_it_you_buy_it_desc;상점 할인율을 -100%로 낮춥니다.
ach_you_have_a_problem_name;You Have A Problem
ach_you_have_a_problem_desc;한 번의 모험에서 도적 상자를 적어도 20회 사용합니다.
progress_business_senseless_name;Business Sense(less)
progress_business_senseless_desc;<i>아이템을 구매하면 상인이 추가로 아이템을 판매합니다.</i>
progress_devilish_deals_name;Devilish Deals
progress_devilish_deals_desc;<i>일부 방에 거래 가능한 신비한 석상이 나타납니다.
progress_dilemmatic_pedestals_name;Dilemmatic Pedestals
progress_dilemmatic_pedestals_desc;<i>제단이 선택 가능한 두 개의 업그레이드 아이템을 제시할 수 있습니다.</i>
progress_hidden_passages_name;Hidden Passages
progress_hidden_passages_desc;<i>벽, 천장, 바닥에서 숨겨진 구역이 발견될 수 있습니다.</i>
progress_honeypot_name;Precious Pottery
progress_honeypot_desc;<i>배치된 평범한 도자기 중에서 코인으로 가득찬 황금 도자기가 낮은 확률로 발견될 수 있습니다.</i>
progress_i_have_a_system_name;I have a system
progress_i_have_a_system_desc;<i>상인의 슬롯 머신에서 이길 확률이 증가합니다.
progress_shiney_slimey_name;Shiney Slimey
progress_shiney_slimey_desc;<i>고대 던전의 모든 지역에서 황금 슬라임이 나타날 수 있습니다.</i>
progress_smorgasbord_name;Smorgasbord
progress_smorgasbord_desc;<i>상인이 낮은 체력으로 방문한 모험자에게 항상 음식을 판매합니다.</i>
progress_super_size_me_name;Super Size Me
progress_super_size_me_desc;<i>음식이 다음 단계로 업그레이드될 수 있습니다.</i>
progress_the_boss_stash_name;The Boss's Stash
progress_the_boss_stash_desc;<i>보스를 처치한 뒤 감자를 받습니다.
progress_caustic_alloy_name;Caustic Alloy
progress_caustic_alloy_desc;강력한 적이나 보스를 공격할 때 단검의 대미지가 증가합니다.
progress_pressurized_capsule_name;Pressurized Capsule
progress_pressurized_capsule_desc;석궁의 화살로 인한 폭발의 크기가 증가합니다.
progress_reactive_polarization_name;Reactive Polarization
progress_reactive_polarization_desc;적을 단검으로 처치하면 석궁의 화살이 바로 회수됩니다.
progress_tensioning_winch_name;Tensioning Winch
progress_tensioning_winch_desc;석궁을 오래 장전하고 있을수록 대미지가 증가합니다 (12초 뒤 최대 30% 증가된 대미지)
progress_tethered_bolt_name;Tethered Bolt
progress_tethered_bolt_desc;석궁의 화살을 더 빠르고 더 먼 장소에서 회수할 수 있습니다.
progress_double_edged_name;Double Edged
progress_double_edged_desc;단검이 손으로 돌아올 때 감소되지 않은 대미지를 입힙니다.
progress_fold_of_abberation_name;Fold of Abberration
progress_fold_of_abberation_desc;강력한 적을 공격할 때 무기의 대미지가 증가합니다.
progress_fold_of_obliteration_name;Fold of Obliteration
progress_fold_of_obliteration_desc;보스를 공격할 때 무기의 대미지가 증가합니다.
progress_perfect_balance_name;Perfect Balance
progress_perfect_balance_desc;적을 처치하면 짧은 시간 동안 무기의 대미지가 증가합니다.
progress_weighted_pommel_name;Weighted Pommel
progress_weighted_pommel_desc;검으로 공격하면 근처의 모든 적에게 약간의 대미지를 입힙니다.
insight_category_shop;상점
insight_category_secret;비밀
insight_category_items;아이템
insight_category_misc;기타
insight_category_boss;보스
alchemist_delve_name;연금술사의 갈망
alchemist_delve_desc;연금술사는 굉장한 힘의 엘릭서를 만들어냈습니다. 그것은 던전 안에서 당신의 유일한 방어가 될 것입니다.
ascetic_delve_name;금욕주의자들의 갈망
ascetic_delve_desc;금욕주의자들은 박탈감을 통해 힘을 믿었습니다. 던전은 빈손으로 당신을 남겨둘 것입니다.
berserker_delve_name;버서커의 갈망
berserker_delve_desc;버서커는 죽음과 위험에 크게 기뻐합니다. 던전의 적의 수가 증가합니다.
biologist_delve_name;생물학자의 갈망
biologist_delve_desc;생물학자는 모든 생물을 관찰하는 것을 즐겼습니다. 던전에는 동물떼가 있을 것입니다.
cartographer_delve_name;지도 제작자의 갈망
cartographer_delve_desc;지도 제작자는 인적이 드문 길을 걷는 것에 흥분했습니다. 던전은 평소보다 훨씬 더 커질 것입니다.
gambler_delve_name;도박꾼의 갈망
gambler_delve_desc;도박꾼은 위험을 즐겼습니다. 던전은 행운이든 불행이든 닥치는 대로 선물할 것입니다.
hunter_delve_name;사냥꾼의 갈망
hunter_delve_desc;사냥꾼은 최고의 사냥감만을 요구했습니다. 던전이 그 요구를 충족시켜 줄 것입니다.
penitent_delve_name;참회자의 갈망
penitent_delve_desc;참회자는 끊임없는 채찍질을 통해 자신을 겸손하게 만들었습니다. 당신은 강인하지만, 몇 초마다 지속적인 피해를 입습니다.
speechbubble_descendant_blacksmith_introduction_dialog1;...
speechbubble_descendant_blacksmith_introduction_choice1_option1;...저기요?
speechbubble_descendant_blacksmith_introduction_dialog2;안녕하신가. 안으로 들어갈 생각인가?
speechbubble_descendant_blacksmith_introduction_choice2_option1;네, 그래요.
speechbubble_descendant_blacksmith_introduction_end;그렇구만. 경고하겠네만 소용없겠지. 대신, 조심하게. 고대 던전은 위험한 곳이네.
speechbubble_descendant_blacksmith_crossbow_dialog1;다됐네.
speechbubble_descendant_blacksmith_crossbow_choice1_option1;이게 뭐죠?
speechbubble_descendant_blacksmith_crossbow_dialog2;할아버지께선 암살자들의 무기라고 부르셨지. 고대 던전에서만 발견되는 합금으로 만든 석궁과 단검이라네.
speechbubble_descendant_blacksmith_crossbow_choice2_option1;축하합니다?
speechbubble_descendant_blacksmith_crossbow_dialog3;고맙네. 우리 일가가 무기들을 만드는데 몇 세대가 지났지만 운좋게도 내가 마지막 한방을 날렸구만 그래.
speechbubble_descendant_blacksmith_crossbow_choice3_option1;...
speechbubble_descendant_blacksmith_crossbow_end;되었네! 이것들을 가지고 가, 안에 있는 것을 쳐부수게. 그곳에서 너무 많은 사람들이 목숨을 잃었어.
speechbubble_descendant_blacksmith_augmentshop_dialog1;잠시, 제발, 잠깐만 얘기 좀 들어주게.
speechbubble_descendant_blacksmith_augmentshop_choice1_option1;네?
speechbubble_descendant_blacksmith_augmentshop_dialog2;자네 같은 사람이 야수를 처치해서, 내 무기를 강화될 수 있었네. 피는 무기를 변화시키고 강화할 수 있다네.
speechbubble_descendant_blacksmith_augmentshop_choice2_option1;대단하군요!
speechbubble_descendant_blacksmith_augmentshop_end;그럼, 그것은 경외심을 불러일으킬 수 있지. 자네가 그 곳에서 목숨을 거는 위험을 감수해야 하기 때문에, 나는 자네가 그 피가 어떻게 사용되는지 결정하는 것이 옳다고 생각한다네. 내가 몇 가지 계획을 세워 모루 근처에 올려 놓았으니 한 번 봐주게.
speechbubble_descendant_blacksmith_rand_1;전혀, 난 항상 여기 있지는 않네! 자네들이 던전에 있는 동안 나는 대장일을 할 뿐이야, 내가 쓸데없는 질문에 시달리지 않도록!
speechbubble_descendant_blacksmith_rand_2;이 망치는 몇 세대 전 우리 가문의 첫 작품이지. 우리 무기와 같은 재질이지만 더 단단하고 내구성있게 만들어졌네.
speechbubble_descendant_blacksmith_rand_3;우리 고조 할아버지께선 나이프를 완성하셨고, 그걸 할아버지한테 던져서 건네줄때 까무러치게 놀랐네! 날아갔다 되돌아오며 귀를 잘라버릴 뻔 했거든!
speechbubble_descendant_blacksmith_rand_4;던전이 존재하는 한 우리 가문도 존재하네. 우리는 던전의 파괴를 위해 무기를 만드는 것을 신성한 의무로 생각하고 있네.
speechbubble_descendant_blacksmith_rand_5;우리 가문이 만든 무기는 사용한 사람의 운명과 상관없이 항상 우리에게 돌아오지. 잘 이해하기 어렵지만 감사하게 생각하고 있네.
speechbubble_descendant_blacksmith_rand_6;그 성직자 녀석은 "안녕하세요"라거나 "좋은 아침입니다" 같은 말로 항상 나를 괴롭히네. 내 생각에 고요는 깨지지 않는 것이 좋은 것 같아. 특히 아침에는. 
speechbubble_descendant_blacksmith_rand_7;고대 던전은 땅 밑에서 끊임없이 흔들리며 조금씩 움직인다네. 마지막으로 발견된 입구는 여기서 남동쪽으로 거의 500마일 떨어진 곳이었지!
speechbubble_descendant_blacksmith_rand_8;어젯밤, 던전이 나에게 말을 거는 꿈을 꾸었다네. 이상하고 더 이상한 일이지. 확실히 친숙하게 들렸어...
speechbubble_descendant_blacksmith_rand_9;나는 던전에 잡동사니를 파는 "상인들"이 있다는 말을 들었네. 조심하게, 친구여. 그 곳에 있는 모든 것들은 자네를 해친다는 것을.
The Blacksmith;대장장이
speechbubble_ghost_id_1000_og_part1;그래서, 나는 큰 검을 가지고 방 안을 덜컥거리며 돌아다니는 거대한 갑옷을 발견했다. 꽤 느리게 움직이기 때문에, 그것을 파괴하기 위해 그냥 "어떻게든 피하면서" 나아갈 수 있을 것이라고 생각했다.
speechbubble_ghost_id_1000_og_part2;나는 구르고, 피하고, 공격했다. 그러나 그것은 그저... 죽음을 거부했다? 소멸하지 않으려고 하는 걸까? 어쨌든 나는 지쳐갔고 도망치기에는 이미 늦었다. 내 공격은 약해지고 움직임도 느려져 갔다...
speechbubble_ghost_id_1000_og_part3;좋아, 솔직하게 말하지. 내 머리카락이 아주 잘 다듬어져 있음에도 불구하고 그것은 내 머리를 깔끔하게 잘라냈어. 그냥 운이 나빴을 뿐이야.
speechbubble_ghost_id_1000_fl_part1;물론이지. 들어가기 전에 칼로 좀 더 연습할 수도 있었는데. 당연히 음식도 더 싸올 수 있었지. 하지만 그게 정말 다른 차이를 만들었을까?
speechbubble_ghost_id_1000_fl_part2;그럴수도 있고. 아닐수도 있고. 그것이 좋든 나쁘든 간에 운에 달려있다. 당신이 얼마나 많은 것을 얻을지, 필요할지 알 수 없어. 심지어 수년의 준비조차도 하루를 버티기 힘들지도 몰라.
speechbubble_ghost_id_1000_fl_part3;우리가 얘기할 수 있었어서 기뻐. 몇 가지 생각을 정리하는데 도움이 됐어. 마음 한구석에 약간의 의심이 있었지만 이제 괜찮아. 한결 가볍네.
speechbubble_ghost_id_1000_tc_part1;와우, 보기만 해도 피곤해! 운이 좋아.정말 대단했어.
speechbubble_ghost_id_1000_tc_part2;쉿, 난 정말 피곤해! 이렇게까지 피곤했던 기억은 없군. 다행히 저쪽에 편안한 침대가 있는것 같군. 빛을 건너가면 말이지.
speechbubble_ghost_id_1000_cradle_talk;행운을 빌어, 모험가... 헉, 행운을 빈다, 어마무시한 행운을! 이제... 난 낮잠 자러 가야겠어.
speechbubble_ghost_id_1000_unlockRunPart;<i>유령은 분명히 미소를 짓고 있었고, 그를 보는 당신에게 이해하는 듯한 위크를 보냅니다.</i>
The Gambler;도박꾼
speechbubble_ghost_id_1001_og_part1;많은 방황 끝에 나는 더 이상 전진할 길이 없다는 것이 기쁘게 느껴졌다. 내가 내려 앉은 곳은 한쪽에 절벽, 다른 쪽에는 심연이 있었다.
speechbubble_ghost_id_1001_og_part2;그곳은 조용하고 어두우며 정적이 흘렀지. 난 바위턱에 앉아 검은 어둠 속을 몇 분 동안 응시했다...
speechbubble_ghost_id_1001_og_part3;...그때 뭔가가 나를 쳐다보고 있었어.
speechbubble_ghost_id_1001_fl_part1;거대한 노란 눈이 내 앞에서 열렸고, 내부의 불꽃같은 빛으로 강하게 빛나며 끔찍한 모습을 완전히 드러냈다.
speechbubble_ghost_id_1001_fl_part2;단 하나의 눈과 치아가 드러나는 거대하게 살찐 구형태의 몸. 당장 도망치고 싶었지만 공포 이상의 무언가가 나를 붙잡아두었다.
speechbubble_ghost_id_1001_fl_part3;그것이 나를 물어뜯을 때 소리를 지를 수 없었어. 내 단순하고 어리석은 삶을 잃은 것에 대해 슬퍼할 수 없었지.
speechbubble_ghost_id_1001_tc_part1;나는 세계와 역사에 흔적을 남기기 위해 죽었다. 지금, 그 선택에 대해 의문을 가지고 있다. 소박하고 아무에게도 알려지지 않은 이 작은 삶의 무엇이 잘못된 것일까?
speechbubble_ghost_id_1001_tc_part2;나는 이런 방식으로 죽은 첫 번째 사람은 아니며 마지막도 아닐 것이다. 이것은 이상한 종류의 광기이다.
speechbubble_ghost_id_1001_cradleTalk;그래도 모험가여, 고맙다. 나는 마침내 쉴 수 있게 되었다.
speechbubble_ghost_id_1001_unlockRunPart;<i>유령은 슬픈 미소를 지으며 당신을 바라보며 마지막 인사로 손을 흔들었습니다.</i>
The Cartographer;지도 제작자
speechbubble_ghost_id_1010_og_part1;난 진실로 모든 부정적인 상호작용이 부족한 소통의 결과라고 생각했다. 스스로 동물들이 무엇을 소통하려 노력했는지 이해하는 것에 자부심을 느꼈지만... 가끔 내가 틀리기도 했다.
speechbubble_ghost_id_1010_og_part2;나는 클라렌스에 대해 잘못 생각했어. 클라렌스는 안기고 싶어하지 않았고 배가 고픈 상태였지. 어느 날 밤, 그가 내 머리칼 속에서 그르렁거리는 소리를 들으며 잠에 들었지...만, 그는 내 머리에 구멍을 뚫어버렸다.
speechbubble_ghost_id_1010_og_part3;긍정적인 면을 보자면, 클라렌스는 더 이상 배고프지 않아. 난 정말 그가 자라서 그의 친구들처럼 크고 강해지기를 바란다.
speechbubble_ghost_id_1010_fl_part1;전적으로 내 잘못이었어. 동물들은 이성적이지 않고 본능에 따라 행동한다. 난 그들이 너무 귀엽고 놀라워서 그걸 잠시 잊었을 뿐이야.
speechbubble_ghost_id_1010_fl_part2;내 말은, 클라렌스가 우리가 서로에게 얼마나 소중한지 생각했다면 내 머리뼈에 구멍 하나라도 뚫지 않았을 거란 거지.
speechbubble_ghost_id_1010_fl_part3;최소한 그가 어떤 죄책감도 느끼지 않을 거란 걸 알아. 아마 그저 배부르다고 느끼겠지.
speechbubble_ghost_id_1010_tc_part1;이봐, 내 말을 들어줘서 고마워. 솔직히 말해, 난 클라렌스에게 약간... 화가 났던 것 같다. 하지만 클라렌스는 여전히 클라렌스야. 귀엽고, 놀랍고, 치명적이지.
speechbubble_ghost_id_1010_tc_part2;이제 떠나야할 시간이 되었다. 다른 세상에 동물들이 있을지 궁금하다. 그렇지 않다면, "인간"들에게도 기회를 줄 수 있겠지.
speechbubble_ghost_id_1010_cradleTalk;아우. 오싹했다. 분명히 동물들이 있을 거 같다. 최소한 개라도 있겠지.
speechbubble_ghost_id_1010_unlockRunPart;<i>유령의 눈은 당신을 위아래로 햝듯이 자세히 훑어보며 파악하고 있습니다. 당신은 그것이 당신을 살짝 만지고 싶어한다는 느낌이 듭니다.</i>
The Biologist;생물학자
speechbubble_ghost_id_1011_og_part1;오...어이쿠. 보니까 모험가 중 한 명이 내 감각을 다시 돌려놓은 것 같다. 이상하군. 어떻게 나를 이긴 사람이 있었을까?
speechbubble_ghost_id_1011_og_part2;흐음, 혹시 그들이 최고의 모험가였다면 나를 이기는 것이 가능하지. 그렇겠지... 틀림없어.
speechbubble_ghost_id_1011_og_part3;음...어, 행운을 빌어. 당신이 살아남길 빌지. 유령으로 지내는 것은 별로 재미없거든.
speechbubble_ghost_id_1011_fl_part1;이제 기억이 나는군. 난 어떤 살인마 모험가한테 죽은게 아니었어. 스켈레톤이었던 것 같다. 멍청한 스켈레톤 같으니.
speechbubble_ghost_id_1011_fl_part2;난 조심성이 없었다. 난 사냥꾼이니까 아무것도 날 건드릴 수 없다고 여겼지. 아... 내가 좀 어리석었군.
speechbubble_ghost_id_1011_fl_part3;이봐, 조심하라구! 나한테 일어난 일이 너한테도 일어날 수 있는 일이야.
speechbubble_ghost_id_1011_tc_part1;와우, 정말 대단해. 놀라워. 내가 그렇게 하지 못했던 것은 너무 자만했긴 때문인 것 같다.
speechbubble_ghost_id_1011_tc_part2;이제 기분이 좀 좋아졌어. 다시 움직일 준비가 됐다. 정말 고맙다.
speechbubble_ghost_id_1011_cradleTalk;기억해! 어떤 일이 있더라도 항상 조심해. 조금의 두려움은 오히려 안전을 유지할 수 있게 해주지.
